ID,底本/出典,データベースID,史料名,記述内容,記述場所,場所（町、寺名、場所データ）,年月日（作成）,年月日（作成）2,年月日（被害）,年月日（被害）3,伝聞/体験,被害種別,緯度経度,座標/レベル,座標に関する備考,備考
1,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,武蔵、相模、安房、上総諸国、地大に震ひ就中、江戸、小田原被害最も甚し,―,武蔵国,―,―,1703/12/31,元禄16/11/23,―,地域一体被害,"35.668919,139.477432",1,便宜的に府中市役所に置く。,「二十二日甲子、丑刻」とあったが、23日とした。以下同じ。
2,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,武蔵、相模、安房、上総諸国、地大に震ひ就中、江戸、小田原被害最も甚し,―,相模国,―,―,1703/12/31,元禄16/11/23,―,地域一体被害,"35.251334,139.154094",1,便宜的に小田原城跡に置く。,
3,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,武蔵、相模、安房、上総諸国、地大に震ひ就中、江戸、小田原被害最も甚し,―,安房国,―,―,1703/12/31,元禄16/11/23,―,地域一体被害,"35.043221,139.840103",1,便宜的に南房総市役所に置く。,
4,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,武蔵、相模、安房、上総諸国、地大に震ひ就中、江戸、小田原被害最も甚し,―,上総国,―,―,1703/12/31,元禄16/11/23,―,地域一体被害,"35.498055,140.115555",1,便宜的に市原市役所に置く。,
5,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,武蔵、相模、安房、上総諸国、地大に震ひ就中、江戸、小田原被害最も甚し,―,江戸,―,―,1703/12/31,元禄16/11/23,―,地域一体被害,"35.684627,139.752032",1,便宜的に皇居に置く。,
6,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,武蔵、相模、安房、上総諸国、地大に震ひ就中、江戸、小田原被害最も甚し,―,小田原,―,―,1703/12/31,元禄16/11/23,―,地域一体被害,"35.251334,139.154094",1,便宜的に小田原城跡に置く。,
7,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,続て海嘯暴溢し、相模の小田原、鎌倉の沿海、安房の長狭、朝夷両郡、上総の夷隅郡等、其災を被れり,―,相模国小田原,―,―,1703/12/31,元禄16/11/23,―,津波被害,"35.251334,139.154094",1,便宜的に小田原城跡に置く。,
8,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,続て海嘯暴溢し、相模の小田原、鎌倉の沿海、安房の長狭、朝夷両郡、上総の夷隅郡等、其災を被れり,―,鎌倉（沿海）,―,―,1703/12/31,元禄16/11/23,―,津波被害,"35.309699,139.539092",2,便宜的に由比ガ浜に置く。（鎌倉沿海とあるため）,
9,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,続て海嘯暴溢し、相模の小田原、鎌倉の沿海、安房の長狭、朝夷両郡、上総の夷隅郡等、其災を被れり,―,安房国長狭郡,―,―,1703/12/31,元禄16/11/23,―,津波被害,"35.114075,140.098948",2,便宜的に鴨川市役所に置く。,
10,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,続て海嘯暴溢し、相模の小田原、鎌倉の沿海、安房の長狭、朝夷両郡、上総の夷隅郡等、其災を被れり,―,安房国朝夷郡,―,―,1703/12/31,元禄16/11/23,―,津波被害,"35.062616,140.060588",2,便宜的に江見駅に置く。（現在、鴨川市であるが同市役所は朝夷郡外であるため）,
